,CityID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
371,2229748,Kumbo,6.2,10.6667,60.21,50,99,0.58,CM,1672970739
372,2649024,Frome,51.2283,-2.3221,46.62,93,99,1.01,GB,1672970739
373,3424934,Saint-Pierre,46.7654,-56.1695,26.56,68,0,5.75,PM,1672970733
374,1045114,Inhambane,-23.865,35.3833,77.79,89,94,8.21,MZ,1672970739
375,2013258,Vrangel',42.7297,133.0839,23.31,54,0,6.78,RU,1672970740
376,3480908,La Asuncion,11.0333,-63.8628,76.53,86,99,14.76,VE,1672970740
377,2185329,Otane,-39.8833,176.6333,71.01,80,100,6.96,NZ,1672970630
378,2121025,Srednekolymsk,67.45,153.6833,-46.7,99,98,1.23,RU,1672970741
379,3451138,Rio Grande,-32.035,-52.0986,70.47,79,0,15.08,BR,1672970741
380,5991056,Kenora,49.8167,-94.4337,2.32,91,20,0.78,CA,1672970742
381,3391889,Pitimbu,-7.4706,-34.8086,77.59,76,12,7.74,BR,1672970742
382,3393692,Itarema,-2.9248,-39.9167,78.75,77,86,12.44,BR,1672970742
383,3984997,San Quintín,30.4833,-115.95,61.02,71,100,6.76,MX,1672970743
384,933759,Ghanzi,-21.5667,21.7833,72.57,70,90,4.14,BW,1672970743
385,6690296,Saint-Joseph,-21.3667,55.6167,73.78,81,48,11.77,RE,1672970743
386,4987617,Cadillac,44.2519,-85.4012,30.79,100,100,3.44,US,1672970483
387,1507636,Chunskiy,56.0815,99.6342,23.72,95,100,7.72,RU,1672970721
388,3346015,Sumbe,-11.2061,13.8437,76.78,86,100,4.29,AO,1672970744
389,1489853,Tazovsky,67.4667,78.7,-34.2,98,11,5.57,RU,1672970744
390,2458334,Douentza,14.9951,-2.9517,67.21,24,78,3.8,ML,1672970744
391,3386213,Touros,-5.1989,-35.4608,78.73,77,6,9.64,BR,1672970745
392,2122605,Okhotsk,59.3833,143.3,-11.29,86,92,12.41,RU,1672970745
393,2108502,Honiara,-9.4333,159.95,84.61,75,38,5.97,SB,1672970745
394,1503037,Kodinsk,58.6881,99.1844,11.62,97,100,0.81,RU,1672970746
395,2028164,Deputatsky,69.3,139.9,-33.45,94,100,3.6,RU,1672970746
396,8079926,Labuhan,-6.8844,112.2051,82.08,72,100,9.08,ID,1672970746
397,2971049,Arrondissement de Valence,45.0,5.0,52.74,85,99,5.53,FR,1672970747
398,733722,Ahtopol,42.1,27.95,50.86,74,100,7.45,BG,1672970747
399,2181625,Te Anau,-45.4167,167.7167,71.64,60,100,7.72,NZ,1672970747
400,3899695,Ancud,-41.8697,-73.8203,55.69,94,1,5.3,CL,1672970748
